quarter,cpi_level,inflation_percent
1990Q1,128.03333333333333,5.232876712328771
1990Q2,129.29999999999998,4.583445672688047
1990Q3,131.53333333333333,5.5644729802033055
1990Q4,133.76666666666665,6.276483050847448
1991Q1,134.76666666666668,5.259047123145022
1991Q2,135.56666666666666,4.84660995101831
1991Q3,136.6,3.8520020273694833
1991Q4,137.73333333333332,2.9653625716421717
1992Q1,138.66666666666666,2.893890675241151
1992Q2,139.73333333333332,3.0735185640521134
1992Q3,140.79999999999998,3.0746705710102518
1992Q4,142.03333333333333,3.1219748305905126
1993Q1,143.0666666666667,3.173076923076956
1993Q2,144.1,3.125
1993Q3,144.76666666666668,2.817234848484862
1993Q4,145.96666666666667,2.7693029805210045
1994Q1,146.70000000000002,2.5396085740913232
1994Q2,147.53333333333333,2.38260467268101
1994Q3,148.9,2.855169237854005
1994Q4,149.76666666666668,2.6033340945421424
1995Q1,150.86666666666667,2.8402635764598783
1995Q2,152.1,3.0953456845910443
1995Q3,152.86666666666667,2.6639802999776085
1995Q4,153.70000000000002,2.6263075895837984
1996Q1,155.06666666666666,2.783915156871397
1996Q2,156.4,2.827087442472065
1996Q3,157.29999999999998,2.900130832969894
1996Q4,158.66666666666666,3.23140316634134
1997Q1,159.63333333333333,2.9449699054170164
1997Q2,160.0,2.3017902813299296
1997Q3,160.79999999999998,2.2250476795931284
1997Q4,161.66666666666666,1.8907563025210017
1998Q1,162.0,1.4825642096471192
1998Q2,162.53333333333333,1.5833333333333366
1998Q3,163.36666666666667,1.5961857379767963
1998Q4,164.13333333333333,1.525773195876301
1999Q1,164.73333333333332,1.6872427983539051
1999Q2,165.96666666666667,2.112387202625099
1999Q3,167.20000000000002,2.346459906141618
1999Q4,168.43333333333334,2.6198212835093493
2000Q1,170.1,3.2577903682719622
2000Q2,171.4333333333333,3.2938341032335616
2000Q3,173.0,3.468899521531088
2000Q4,174.23333333333335,3.4434989115377013
2001Q1,175.9,3.4097589653145244
2001Q2,177.13333333333333,3.324907641454411
2001Q3,177.63333333333333,2.678227360308272
2001Q4,177.5,1.87488042854409
2002Q1,178.0666666666667,1.231760469964005
2002Q2,179.46666666666667,1.3172751223184065
2002Q3,180.4333333333333,1.5762807280915725
2002Q4,181.5,2.2535211267605604
2003Q1,183.36666666666667,2.976413328341443
2003Q2,183.0666666666667,2.0059435364041756
2003Q3,184.4333333333333,2.216885276186953
2003Q4,185.13333333333333,2.0018365472910915
2004Q1,186.70000000000002,1.8178512997636842
2004Q2,188.16666666666666,2.7858703568827137
2004Q3,189.36666666666667,2.674859931321172
2004Q4,191.4,3.3849477853799215
2005Q1,192.36666666666667,3.035172290662369
2005Q2,193.66666666666666,2.9229406554472925
2005Q3,196.6,3.8197500440063203
2005Q4,198.4333333333333,3.6746778126088397
2006Q1,199.46666666666667,3.690868133772307
2006Q2,201.26666666666665,3.9242685025817625
2006Q3,203.16666666666666,3.3401152933197675
2006Q4,202.33333333333334,1.9653955988577332
2007Q1,204.317,2.4316510695187254
2007Q2,206.631,2.6652865187148045
2007Q3,207.939,2.3489745693191066
2007Q4,210.4896666666667,4.031136738056018
2008Q1,212.76966666666667,4.137035423712487
2008Q2,215.5376666666667,4.310421314646251
2008Q3,218.861,5.2525019356638225
2008Q4,213.84866666666667,1.59580280267122
2009Q1,212.37766666666667,-0.18423678813865862
2009Q2,213.50699999999998,-0.9421400435809635
2009Q3,215.34399999999997,-1.6069560131773297
2009Q4,217.03,1.4876563800569231
2010Q1,217.37400000000002,2.352570028549783
2010Q2,217.29733333333334,1.7752735663624009
2010Q3,217.93433333333334,1.2028815910047896
2010Q4,219.69899999999998,1.2297839008431843
2011Q1,222.04366666666667,2.148217664792762
2011Q2,224.56833333333336,3.3461064102642935
2011Q3,226.03266666666664,3.7159511351278374
2011Q4,227.04733333333334,3.3447277107921947
2012Q1,228.32600000000002,2.8293233613208235
2012Q2,228.808,1.88791830252113
2012Q3,229.841,1.6848597105433294
2012Q4,231.36933333333332,1.903567831670916
2013Q1,232.29933333333335,1.740201875096714
2013Q2,232.045,1.414723261424422
2013Q3,233.29999999999998,1.5049534243237517
2013Q4,234.1626666666667,1.2073049150852722
2014Q1,235.621,1.4299079635757383
2014Q2,236.87233333333333,2.0803436115121476
2014Q3,237.47833333333332,1.7909701385912413
2014Q4,236.88833333333332,1.1640056484950367
2015Q1,235.35500000000002,-0.11289316317305564
2015Q2,236.96,0.03701009123058263
2015Q3,237.855,0.15861096099996086
2015Q4,237.837,0.40046998234049
2016Q1,237.68933333333334,0.9918350293528055
2016Q2,239.59033333333332,1.1100326356065615
2016Q3,240.60733333333334,1.1571475618899596
2016Q4,242.13466666666667,1.8069798503457024
2017Q1,243.83866666666665,2.587130540144833
2017Q2,244.12,1.8905882402044716
2017Q3,245.287,1.9449393340740473
2017Q4,247.23833333333334,2.1077802435008675
2018Q1,249.3216666666667,2.248617938637043
2018Q2,250.679,2.686793380304775
2018Q3,251.68633333333332,2.608916629635205
2018Q4,252.711,2.213518669569847
2019Q1,253.38566666666665,1.6300227951842494
2019Q2,255.24733333333333,1.8223837390979325
2019Q3,256.08933333333334,1.749399715783806
2019Q4,257.888,2.0485851427124224
2020Q1,258.81766666666664,2.143767669047314
2020Q2,256.292,0.40927623141997493
2020Q3,259.22166666666664,1.2231408831293145
2020Q4,261.0916666666667,1.242270546387081
