date,real_gdp_billions_chained_2017,potential_gdp_billions_chained_2017,output_gap_percent
1990-01-01,10047.386,9885.457,1.638
1990-04-01,10083.855,9953.520,1.309
1990-07-01,10090.569,10020.582,0.698
1990-10-01,9998.704,10086.677,-0.872
1991-01-01,9951.916,10152.177,-1.973
1991-04-01,10029.510,10216.906,-1.834
1991-07-01,10080.195,10281.570,-1.959
1991-10-01,10115.329,10347.377,-2.243
1992-01-01,10236.435,10414.244,-1.707
1992-04-01,10347.429,10482.223,-1.286
1992-07-01,10449.673,10551.785,-0.968
1992-10-01,10558.648,10622.618,-0.602
1993-01-01,10576.275,10695.542,-1.115
1993-04-01,10637.847,10769.571,-1.223
1993-07-01,10688.606,10844.633,-1.439
1993-10-01,10833.987,10921.031,-0.797
1994-01-01,10939.116,10998.749,-0.542
1994-04-01,11087.361,11076.949,0.094
1994-07-01,11152.176,11156.409,-0.038
1994-10-01,11279.932,11237.097,0.381
1995-01-01,11319.951,11318.731,0.011
1995-04-01,11353.721,11401.545,-0.419
1995-07-01,11450.310,11485.083,-0.303
1995-10-01,11528.067,11570.743,-0.369
1996-01-01,11614.418,11658.236,-0.376
1996-04-01,11808.140,11750.807,0.488
1996-07-01,11914.063,11849.534,0.545
1996-10-01,12037.775,11954.099,0.700
1997-01-01,12115.472,12064.076,0.426
1997-04-01,12317.221,12178.422,1.140
1997-07-01,12471.010,12297.625,1.410
1997-10-01,12577.495,12420.640,1.263
1998-01-01,12703.742,12547.224,1.247
1998-04-01,12821.339,12677.453,1.135
1998-07-01,12982.752,12809.973,1.349
1998-10-01,13191.670,12945.271,1.903
1999-01-01,13315.597,13083.465,1.774
1999-04-01,13426.748,13222.908,1.542
1999-07-01,13604.771,13363.358,1.807
1999-10-01,13827.980,13505.496,2.388
2000-01-01,13878.147,13648.585,1.682
2000-04-01,14130.908,13788.681,2.482
2000-07-01,14145.312,13923.902,1.590
2000-10-01,14229.765,14053.434,1.255
2001-01-01,14183.120,14177.015,0.043
2001-04-01,14271.694,14293.255,-0.151
2001-07-01,14214.516,14401.429,-1.298
2001-10-01,14253.574,14502.376,-1.716
2002-01-01,14372.785,14596.982,-1.536
2002-04-01,14460.848,14687.090,-1.540
2002-07-01,14519.633,14774.589,-1.726
2002-10-01,14537.580,14860.706,-2.174
2003-01-01,14614.141,14947.163,-2.228
2003-04-01,14743.567,15035.055,-1.939
2003-07-01,14988.782,15124.159,-0.895
2003-10-01,15162.760,15215.896,-0.349
2004-01-01,15248.680,15310.650,-0.405
2004-04-01,15366.850,15407.300,-0.263
2004-07-01,15512.619,15506.392,0.040
2004-10-01,15670.880,15607.360,0.407
2005-01-01,15844.727,15707.319,0.875
2005-04-01,15922.782,15805.165,0.744
2005-07-01,16047.587,15902.192,0.914
2005-10-01,16136.734,15997.875,0.868
2006-01-01,16353.835,16091.603,1.630
2006-04-01,16396.151,16183.164,1.316
2006-07-01,16420.738,16270.761,0.922
2006-10-01,16561.866,16354.469,1.268
2007-01-01,16611.690,16438.582,1.053
2007-04-01,16713.314,16523.062,1.151
2007-07-01,16809.587,16608.026,1.214
2007-10-01,16915.191,16691.712,1.339
2008-01-01,16843.003,16774.777,0.407
2008-04-01,16943.291,16854.432,0.527
2008-07-01,16854.295,16929.753,-0.446
2008-10-01,16485.350,16999.909,-3.027
2009-01-01,16298.262,17063.794,-4.486
2009-04-01,16269.145,17122.683,-4.985
2009-07-01,16326.281,17177.410,-4.955
2009-10-01,16502.754,17230.327,-4.223
2010-01-01,16582.710,17284.089,-4.058
2010-04-01,16743.162,17339.540,-3.439
2010-07-01,16872.266,17398.250,-3.023
2010-10-01,16960.864,17459.668,-2.857
2011-01-01,16920.632,17523.898,-3.443
2011-04-01,17035.114,17590.062,-3.155
2011-07-01,17031.313,17658.132,-3.550
2011-10-01,17222.583,17728.787,-2.855
2012-01-01,17367.010,17802.125,-2.444
2012-04-01,17444.525,17877.514,-2.422
2012-07-01,17469.650,17954.160,-2.699
2012-10-01,17489.852,18032.271,-3.008
2013-01-01,17662.400,18112.761,-2.486
2013-04-01,17709.671,18194.453,-2.664
2013-07-01,17860.450,18277.074,-2.279
2013-10-01,18016.147,18361.598,-1.881
2014-01-01,17953.974,18448.099,-2.678
2014-04-01,18185.911,18535.903,-1.888
2014-07-01,18406.941,18626.029,-1.176
2014-10-01,18500.031,18717.996,-1.164
2015-01-01,18666.621,18811.820,-0.772
2015-04-01,18782.243,18906.970,-0.660
2015-07-01,18857.418,19003.034,-0.766
2015-10-01,18892.206,19100.138,-1.089
2016-01-01,19001.690,19198.253,-1.024
2016-04-01,19062.709,19296.500,-1.212
2016-07-01,19197.938,19394.189,-1.012
2016-10-01,19304.352,19491.389,-0.960
2017-01-01,19398.343,19588.631,-0.971
2017-04-01,19506.949,19685.873,-0.909
2017-07-01,19660.766,19783.817,-0.622
2017-10-01,19882.352,19882.733,-0.002
2018-01-01,20044.077,19983.308,0.304
2018-04-01,20150.476,20085.821,0.322
2018-07-01,20276.154,20189.237,0.431
2018-10-01,20304.874,20294.354,0.052
2019-01-01,20431.641,20401.783,0.146
2019-04-01,20602.275,20509.708,0.451
2019-07-01,20843.322,20617.675,1.094
2019-10-01,20985.448,20722.820,1.267
2020-01-01,20709.212,20825.890,-0.560
2020-04-01,19077.992,20925.856,-8.831
2020-07-01,20558.879,21020.539,-2.196
2020-10-01,20791.917,21116.617,-1.538
